Name,Type,Ownership,Atoll/Island,Address,Level
Yaanex,Specialised,Private,Thudi/L.Gan,Royal Palace,Certificate
Thafheeml Quran,Specialised,Private,K.Male',H.Kaashidhooge,Certificate
Badhahi Learning centre,Mobile,Private,K.Male',M.Finiasseyri,Certificate/ Diploma
Classmate,Specialised,Private,K.Male',M.Muniyaage,Certificate/ Diploma
Centre for Occupational Health and Safety,Mobile,Private,K.Male',M.Hiyfaseyha Vaadhy,Certificate/ Diploma
Amity Institute of Maldives,Specialised/ Mobile,Private,ADh.Dhagethi,Millet,Certificate/ Diploma
Azum Training and Consultancy,Mobile,Private,K.Male',H.avidheyge,Certificate/ Diploma
Kazu Institute,Specialised/ Mobile,Private,K.Male',Jazeera Building,Certificate/ Diploma
International Aviation Academy Maldives,Specialised,Private,K.Male',H.Fulidhooge,Certificate/ Diploma
Kulliyathu Dhirasaathil Islamiyya,College,Private,K.Male',Fahudhu Rasgefaanu Building,Certificate/ Diploma/ Degree
Islanders Tourism and Hospitality Academy,Specialised/ Mobile,Private,K.Male',Billabong High EPS International School,Certificate/ Diploma
Funadu Training Institute,Mobile,Private,Gn.Fuvahmulah,Dhilshaadhuaage,Certificate
Center for Technical Education,Mobile,Private,K.Male',H.Ali kuri,Certificate
Asian Academy of Aeronautics,Specialised,Private,S.Gan,Addu International Airport,Certificate
Institute of professional Education,Mobile,Private,K.Male',Ma.South Light,Certificate
Glonet,Mobile,Private,K.Male',H.Avidheyge,Certificate
Maldives Law Institute,Specialised,Private,S.Meedhoo,STO Addu Building,Certificate
Institute of Arabic language and islamic Studies,Specialised/ Mobile,Private,Lh.Olhuvelifushi,Institute of Arabic language and islamic Studies,Certificate/ Diploma
Institute of Quran and Sunnah,Specialised/ Mobile,Private,K.Male',Ma.Kosheege,Certificate/ Diploma/ Advanced
Equator Institute,Mobile,Private,S.Hithadhoo,Savaa/ Haveeree Magu,Certificate
Zikura International College,College,Private,Gn.Fuvahmulah,Zikura School,Certificate/ Diploma/ Bachelor's Degree/ Masters
International Fire Safety Academy,Mobile,Private,K.Male',G.Gracious/ Nirolhumagu,Certificate
Maldives Institute for Psychological services train and research,Specialised,Private,K.Male',Ma.Kinaara,Certificate/ Diploma
The Foreign Service Institute of Maldives,Specialised,Government,K.Male',Ministry of Foreign Affairs,Certificate
Dhasveni Learning Centre,Specialised/ Mobile,Private,K.Male'(Villingilli),V.Lovely House/ V.Gaamaa,Certificate
Smart Tutors,Specialised,Private,Hulhumale,Lot 10170,Certificate
Hulhumale' Institute,Specialised/ Mobile,Private,Hulhumale,Lot 10170,Certificate/ Diploma
Hulhumale' Sports School,Mobile,Private,Hulhumale,Hulhumale Flat #: 10-G- 03,Certificate
Fishermen's Community and Training Centre,Specialised/ Mobile,Private,L.Gan,Thundi,Certificate
Inhouse Training Solutions,Mobile,Private,B.Maalos,Arutha,Certificate
Martial Arts Academy of Maldives,Mobile,Private,K.Male',Ma.Petra,Certificate
Arees Institute of Higher Educatiion,Specialised,Private,K.Male',Ma.Feerozevaadhy,Certificate/ Diploma
Leads Institute of management and Policy Studies,Mobile,Private,Ga.Dhevvadhoo,Shabnameege,Certificate
Maldives Autism Association Training Institute,Specialised,Private,K.Male',M.Shaadhaan,Certificate/ Diploma
Maldives Training Institute,Specialised/ Mobile,Private,K.Male',G.Heart,Certificate
Asia Institute of Management and Science (AIMS),Specialised/ Mobile,Private,HDh.Kulhudhuffushi,Hithilaage,Certificate
Dhaala Institute,Specialised,Private,G.Kokaage,K.Male',Certificate
Island Livelihood Institute,Specialsied Institute,Pivate,Hiyaavahi,N.Kudafari,Certificate
Asa Learning Institute (ALI),Specialised,Private,Ha.Uligan,Mazaa/Haveeree Hingun,Certificate
Arize Institute,Mobile,Private,K.Male,Ma.Raiyruvaa,Certificate
Horizon International Academy,Specialised/ Mobile,Private,Hulhumale,Hulhumale' lot 11296/ Rabarugas magu/ 6 number goalhi,Certificate/ Diploma
Maldives Tax Academy,Specialised,Government,K.Male,Maldives Inland Revenue Authority,Certificate
Thaaniya Training Institute,Mobile,Private,S.Hithadhoo,Tokiyo Villa,Certificate
Alchemy Institute,Mobile,Private,K.Male',H.Mundooge,Certificate
Maxcom Training Solutions,Specialised,Private,K.Male',G.Kanduvaige,Certificate
Razeen Academy,Specialised/ Mobile,Private,Lh.Naifaru,Razeen Academy/ Uthuru Sinaaee Sarahadhu,Certificate
H.M.F Education centre,Mobile,Private,K.Male',H.Furaathu,Certificate
Arafa Learning Centre,Specialised,Private,L.Fonadhoo,Arafa Learning Centre/ Siraajudheen Magu,Certificate/ Diploma
Language Learning Academy,Specialised/ Mobile,Private,K.Male',Galolhu Madharusaa,Certificate/ Diploma
Knowledge hub Learning Centre,Specialised/ Mobile,Private,Hulhumale,Hulhumale Commercial Block C-1-05,Certificate/ Diploma
Academy of International Maritime and Management Studies (AIMMS),Specialised/ Mobile,Private,Hulhumale,Hulhumale 10213/ Hithigas magu,Certificate
Win Institute of Technology and Management,Specialised,Private,K.Male',H.Funvilu (3rd Floor),Certificate/ Diploma
Dhives Institute,Specialised,Private,K.Male',H.Haifa,Certificate/ Diploma
Maldives Development Research Institute,Mobile,Private,K.Male',H.Fehivinamaage,Certificate/ Diploma
Institute of Dhaarul Quraan,Specialised/ Mobile,Private,K.Male',M.Zeyvaru,Certificate/ Diploma
Dive Education,Specialised,Private,Hulhumale,Lot number 11105,Certificate/ Diploma
Institute for Thanzeel Ul Quran,Specialised,Private,R.Hulhudhuffaaru,Silver palace,Certificate/ Diploma
Marine Reasearch and High Education Centre (Outpost of University of Milano- Bicocca),University Outpost,Government,F.Magoodhoo,Marine Reasearch and High Education Centre,Degree/ Masters
Lisaan Institute,Specialised,Private,K.Male,H.Janburoalumaage,Certificate/ Diploma
South Asian Institute for Islamic Finance (SAIIF),Specialised,Government,K.Male,M.Sakaimoo,Certificate/ Diploma
DLM Education Center,Specialised,Private,Vilimale,V.Farimaa hiya,Certificate
Maldives Academy of Visual Communication,Mobile,Private,S.Hulhudhoo,Vinares,Certificate/ Diploma
Ulaa Business Academy,Mobile,Private,K.Male',H.Heenaagasdhoshuge,Certificate
Institute of Paramedical Sciences and Ambulance services,Mobile,Private,K.Male',M.Gulfaamge/ 1st floor,Certificate
Maldives Institute of Nautical Sciences,Mobile,Private,K.Male',Waadhee Trade Center (7th floor),Certificate/ Diploma
Institute of tharutheel Al'Quran,Specialised,Private,Lh. Kurendhoo,Ibrahim hiya,Certificate/ Diploma
Institute of Audit & Assurance,Specialised,Government,K.Male',Auditor General’s Office/ Gaazee Building,Certificate/ Diploma
Police Academy,Specialised/ Mobile,Government,K.Male',Maldives Police Service,Certificate/ Diploma
National Healthcare Academy,Specialised,Government,K.Male',Indira Gandhi Memorial Hospital,Certificate
Maritime Academy of Eydhafushi,Specialised/ Mobile,Private,B.Eydhafushi,Rashuvadhu,Certificate
Maldives Capacity Development and Governance Institutte,Specialised,Private,K.Male',M. West End/3rd Floor/ Handhuvaree hingun,Certificate
Maldives Institute of Professional Studies,Specialised/ Mobile,Private,K.Male',"H. Maakolhige, Filigasmagu",Certificate/ Diploma
Al-Noor Institute of Islamic Education,Specialised/ Mobile,Private,ADh. Maamigili,Khaadhimge,Certificate
Skylane Aviation Academy,Mobile,Private,K.Male',M.Alimas Vaadee,Certificate
Dhivehi Forex Academy,Specialised/ Mobile,Private,K.Male',Ma.Irudheymaage,Certificate
Global Institute of Management and Technology,Mobile,Private,GDh.Rathafandhoo,"Gulbakaage, Athama Goalhi",Certificate/ Diploma
Equatorial Maritime and Professional Academy,Mobile,Private,S.Maradhoo,Plot 3/ Sharafudheen Magu,Certificate
Thalabathuhnooru Institute,Specialised,Private,B.Kendhoo,Eggamuge/ Magaamu Magu,Certificate/ Diploma
Edu-Laamu Inaternational Training and Education Inastitute,Specialised/ Mobile,Private,L. Gan,Max,Certificate/ Diploma
Living Values Academy,Mobile,Private,k.Male',"M. Noomas, Chandhanee magu",Certificate/ Diploma
Public Finance Institute,Specialised,Government,k.Male',Finance Building/ Ameenee Magu,Others (trainings)
Markaz Al-Quran Wal Bayaan,Specialised,Private,L.Gan,Ulaa/L.Gan,Certificate
Exceed Academy,Specialised/Mobi le,Private,Ha.Hoarafushi,Dhoogas/Ha.Hoarafushi,Certificate/ Diploma
Uyoon Institute,Specialised,Private,K.Male',M.Rose Burn/1st Foor/Didi Goalhi,Certificate/ Diploma
Institute of Combined Education,Specialised,Private,Ha.Muraidhoo,Onufeenige/Raiyhvilaa Magu/Ha.Muraidhoo,Certificate/ Diploma
Corporate Maldives Academy,Mobile,Private,K.Male',Shop no.1/29/ Chaandhanee Magu/Male',Others (Shorts Courses)
Ahta Institute,Mobile,Private,K.Male',H.Minha/2nd Floor/Karankaa Magu/Male',Certificate/ Diploma
Institute of Logic and Technology,Specialised/Mobi le,Private,Gn.Fuvahmulah,Rediumge/Gn.Fuvahmul ah,Certificate/ Diploma
Markaz Noon,Specialised,Private,R.Hulhudhuffaaru,Anhenunge committee idhaaraa/ dhemudi magu/ R.Hulhudhuffaaru,Certificate/ Diploma
Technical and Vocational Education Center,Specialised,Private,B.Kihaadhoo,Technical and Vocational Education Center,Certificate
Dhaarul Quran Wa Sunnah,Specialised,Private,K.Male',G.Alkhairiyya,Certificate/ Diploma
Salaam Education Centre,Specialised,Private,Th.Dhiyamigili,Masjidhul thaguvaa/ Ganduvarumagu,Certificate
Fuvahmulah City Academy,Specialised,Private,Gn.Fuvahmulah,Dhoondeyre/Narugis Magu,Certificate/ Diploma
Altan Institute,Specialised/Mobi le,Private,Addu City,"Dhilshaadh, Majudhuddheenumagu, Meedhoo",Certificate/ Diploma
Skin Candy Institute for Beauty and Research,Specialised,Private,K.Male',H.Neelvilla,Certificate/ Diploma/ Participatory Certiificate
Moodhu Bulhaa Institute,Specialised,Private,K.Villimale',Zuhair Aabaadhu,Certificate/ Padi courses
Novits Academy,Specialised,Private,K.Male',"Ma.Rose Burn, 1st Floor, Didi Goalhi",Certificate
Almusthafa Education Institute,Specialised,Private,Hulhumale,"Lot numbe 10035, Nirolhumagu, Golhi 1",Others (workshop)
Dhivehi Cabin Crew Academy,Specialised,Private,K. Male',"H. Thulusdhooge, Burevimagu",Certificate
Golden Age Education,Specialised,Private,N. Manadhoo,"Hudhuveli, Chandhaneemagu",Certificate/ Diploma
Maldives Code Acedamy,Specialised,Government,K. Male',"Majeedhiyya School, Medhuziyarath magu (20078)",Certificate/ Diploma
Skill Hats Genius Institute,Specialised,Private,K. Male',"G. Green land, Niyadhuru Golhi (20120)",Certificate
Ahmadhiyya Career Training Institute,Specialised,Private,K.Male',Ahmadhiyya International School (20178),Certificate
M.S Institute of Quran,Specialised,Private,K.Male',"H.Veymuiy Villa,Vaijeheymagu (20021)",Certificate/ Diploma
Forloop Coding Academy,Specialised,Private,K.Male',"G. Kethy Rose, Lilymagu",Certificate/ Diploma
3 N Academy,Specialised,Private,R. Innamaadhoo,Neeloafaru,Certificate/ Diploma
Hope Institute for Research & Training,Specialised,Private,K.Male',"M. Kurigam, Ithaa Golhi",Certificate/ Diploma
Coral Academy,Specialised,Private,K. Male',"H. Gaadhoo, Boduthakurufaanu Magu",Certificate
Maldivian Aviation Academy,Specialised,Government,K.Male',"M. Raaverige, Majeedhee Magu",Others (trainings)
Skill Connect Learning Centre,Specialised,Private,K. Kaashidhoo,Athireehiyaa,Certificate/ Diploma
